sp1,sp2,code1,code2,range_overlap,range_symmetry,aou1,aou2,sympatry_routes,bbs_shared_routes
Piranga flava,Piranga rubra,heptan,sumtan,12.310877303352253,0.3522136717535438,6090,6100,73,5
Cardinalis sinuatus,Cardinalis cardinalis,pyrrhu,norcar,76.12194248829567,0.21988001200629398,5940,5930,197,45
Passerina ciris,Passerina versicolor,paibun,varbun,17.94487131821292,0.49380524646614343,6010,6000,56,3
Passerina amoena,Passerina caerulea,lazbun,blugrb1,35.65681601294845,0.3156385390105536,5990,5970,450,11
Passerina cyanea,Spiza americana,indbun,dickci,88.24617042596205,0.4069965769819777,5980,6040,1826,530
Setophaga occidentalis,Setophaga townsendi,herwar,towwar,42.48381517674413,0.1536529703088301,6690,6680,81,8
Setophaga graciae,Setophaga nigrescens,grawar,btywar,42.262394743454465,0.37998565471634405,6640,6650,171,12
Setophaga dominica,Setophaga pinus,yetwar,pinwar,79.3152598974643,0.41525747165561866,6630,6710,1407,195
Setophaga coronata,Setophaga palmarum,yerwar,palwar,96.8319661611143,0.28189878401409724,6556,6720,751,1
Setophaga castanea,Setophaga striata,babwar,bkpwar,32.05238474695822,0.3227870553198176,6600,6610,202,10
Setophaga pensylvanica,Setophaga petechia,chswar,yelwar,86.63585866952486,0.15556031745674678,6590,6520,1386,432
Setophaga citrina,Setophaga ruticilla,hoowar,amered,78.65050995602643,0.2219041541725248,6840,6870,1308,188
Cardellina canadensis,Cardellina pusilla,canwar,wlswar,46.19597664250476,0.2349309497199882,6860,6850,397,14
Geothlypis trichas,Geothlypis formosa,comyel,kenwar,99.7733389711399,0.14284690554415977,6810,6770,1487,271
Leiothlypis luciae,Leiothlypis virginiae,lucwar,virwar,34.42874639723394,0.37461378981752713,6430,6440,54,2
Vermivora chrysoptera,Vermivora cyanoptera,gowwar,buwwar,43.60460222309196,0.33959218118900825,6420,6410,252,6
Limnothlypis swainsonii,Protonotaria citrea,swawar,prowar,91.6224467305644,0.3361978968920687,6380,6370,694,36
Parkesia motacilla,Parkesia noveboracensis,louwat,norwat,10.342708940896072,0.23538674340639457,6760,6750,289,5
Quiscalus major,Quiscalus mexicanus,botgra,grtgra,14.911777405232524,0.07114417613141967,5130,5120,40,6
Molothrus aeneus,Molothrus ater,brocow,bnhcow,62.20202099599017,0.18382611652163075,4960,4950,252,29
Agelaius phoeniceus,Agelaius tricolor,rewbla,tribla,98.7309213962944,0.020040392344326762,4980,5000,161,10
Icterus spurius,Icterus cucullatus,orcori,hooori,11.863638349212046,0.2519368615847562,5060,5050,49,1
Icterus bullockii,Icterus galbula,bulori,balori,10.5212318963499,0.4281401052346202,5080,5070,126,7
Icterus graduacauda,Icterus parisorum,audori,scoori,22.497294736766374,0.18865675144724622,5030,5040,5,0
Sturnella neglecta,Sturnella magna,wesmea,easmea,20.482760010191473,0.4686827001810879,5011,5010,448,142
Artemisiospiza belli,Artemisiospiza nevadensis,belspa2,sagspa1,10.822713284603225,0.1787202708373998,5739,5738,9,0
Melospiza georgiana,Melospiza lincolnii,swaspa,linspa,73.89790921453667,0.4025056009602201,5840,5830,971,113
Centronyx henslowii,Passerculus sandwichensis,henspa,savspa,65.39076768585919,0.0786761468617745,5470,5420,443,8
Zonotrichia albicollis,Zonotrichia querula,whtspa,harspa,33.30328389742454,0.1601377362583592,5580,5530,5,0
Zonotrichia atricapilla,Zonotrichia leucophrys,gocspa,whcspa,90.759144025438,0.244948564857366,5570,5540,217,18
Spizella breweri,Spizella pusilla,brespa,fiespa,10.248452573672957,0.34950286356952825,5620,5630,89,7
Calamospiza melanocorys,Chondestes grammacus,larbun,larspa,96.71567204711866,0.16294098164679913,6050,5520,430,94
Passerella iliaca,Spizelloides arborea,foxspa,amtspa,74.83393365770061,0.34615253646366007,5850,5590,168,27
Spinus psaltria,Spinus tristis,lesgol,amegfi,21.421747506348385,0.3577795645041571,5300,5290,477,38
Loxia curvirostra,Loxia leucoptera,redcro,whwcro,41.755690469163554,0.34010053945746327,5210,5220,1167,15
Haemorhous cassinii,Haemorhous purpureus,casfin,purfin,17.067737353256106,0.3235588490651748,5180,5170,219,15
Passer domesticus,Passer montanus,houspa,eutspa,38.55906326570796,0.4135059214597183,6882,6883,126,23
Sialia currucoides,Sialia mexicana,moublu,wesblu,55.07265665367081,0.4329010862831067,7680,7670,672,53
Mimus polyglottos,Oreoscoptes montanus,normoc,sagthr,54.07483834731527,0.2009630339255505,7030,7020,373,41
Toxostoma crissale,Toxostoma lecontei,crithr,lecthr,51.773802195889594,0.22005959971650085,7120,7110,46,1
Thryomanes bewickii,Thryothorus ludovicianus,bewwre,carwre,18.775580716295856,0.4991142555531605,7190,7180,242,54
Catherpes mexicanus,Salpinctes obsoletus,canwre,rocwre,80.30681171091123,0.4409282073833147,7170,7150,917,51
Bombycilla garrulus,Bombycilla cedrorum,bohwax,cedwax,19.439181189208924,0.289521628068522,6180,6190,90,0
Progne subis,Stelgidopteryx serripennis,purmar,nrwswa,88.18845970137286,0.35610866715903416,6110,6170,2591,287
Tachycineta thalassina,Tachycineta bicolor,vigswa,treswa,65.53732205411033,0.27108157553255813,6150,6140,1263,188
Petrochelidon fulva,Petrochelidon pyrrhonota,cavswa,cliswa,61.06581856825151,0.15581336455517994,6121,6120,329,31
Poecile atricapillus,Poecile carolinensis,bkcchi,carchi,12.513957436664588,0.2068213429988002,7350,7360,278,12
Baeolophus atricristatus,Baeolophus bicolor,blctit4,tuftit,5.582350208427496,0.16555141525677752,7320,7310,17,2
Poecile hudsonicus,Poecile rufescens,borchi2,chbchi,22.437234938168366,0.13325652864458412,7400,7410,86,0
Corvus corax,Corvus cryptoleucus,comrav,chirav,83.71778457837675,0.03528002109793335,4860,4870,163,23
Vireo atricapilla,Vireo bellii,bkcvir1,belvir,99.99999999999999,0.06720368491052103,6300,6330,57,4
Vireo huttoni,Vireo vicinior,hutvir,gryvir,15.374815853361634,0.33136766682188623,6320,6340,40,2
