sp1,sp2,sp2_clean,code1,code2,range_overlap,sympatry,aou1,aou2,sympatry_routes,bbs_shared_routes
Piranga_flava,Piranga_rubra,Piranga rubra,heptan,sumtan,0.0696683005137444,TRUE,6090,6100,25,5
Passerina_ciris,Passerina_versicolor,Passerina versicolor,paibun,varbun,0.14256796563347973,TRUE,6010,6000,28,3
Passerina_amoena,Passerina_caerulea,Passerina caerulea,lazbun,blugrb1,0.21778640425391765,TRUE,5990,5970,209,11
Setophaga_occidentalis,Setophaga_townsendi,Setophaga townsendi,herwar,towwar,0.3854348764472977,TRUE,6690,6680,46,8
Setophaga_graciae,Setophaga_nigrescens,Setophaga nigrescens,grawar,btywar,0.3166228458440035,TRUE,6640,6650,84,12
Setophaga_coronata,Setophaga_palmarum,Setophaga palmarum,yerwar,palwar,0.9721081985504956,TRUE,6556,6720,508,1
Setophaga_castanea,Setophaga_striata,Setophaga striata,babwar,bkpwar,0.23236275983368096,TRUE,6600,6610,112,10
Setophaga_pensylvanica,Setophaga_petechia,Setophaga petechia,chswar,yelwar,0.6341310718961414,TRUE,6590,6520,914,432
Setophaga_citrina,Setophaga_ruticilla,Setophaga ruticilla,hoowar,amered,0.6745111346319062,TRUE,6840,6870,858,188
Cardellina_canadensis,Cardellina_pusilla,Cardellina pusilla,canwar,wlswar,0.4002734520259249,TRUE,6860,6850,296,14
Leiothlypis_luciae,Leiothlypis_virginiae,Leiothlypis virginiae,lucwar,virwar,0.08250287756385108,TRUE,6430,6440,5,2
Vermivora_chrysoptera,Vermivora_cyanoptera,Vermivora cyanoptera,gowwar,buwwar,0.34687013841521946,TRUE,6420,6410,123,6
Limnothlypis_swainsonii,Protonotaria_citrea,Protonotaria citrea,swawar,prowar,0.6715567039134739,TRUE,6380,6370,406,36
Parkesia_motacilla,Parkesia_noveboracensis,Parkesia noveboracensis,louwat,norwat,0.08346337120825824,TRUE,6760,6750,185,5
Quiscalus_major,Quiscalus_mexicanus,Quiscalus mexicanus,botgra,grtgra,0.15682649434264487,TRUE,5130,5120,30,6
Molothrus_aeneus,Molothrus_ater,Molothrus ater,brocow,bnhcow,0.5479218876540888,TRUE,4960,4950,179,29
Artemisiospiza_belli,Artemisiospiza_nevadensis,Artemisiospiza nevadensis,belspa2,sagspa1,0.07177942748317154,TRUE,5739,5738,4,0
Melospiza_georgiana,Melospiza_lincolnii,Melospiza lincolnii,swaspa,linspa,0.7434268453747158,TRUE,5840,5830,839,113
Centronyx_henslowii,Passerculus_sandwichensis,Passerculus sandwichensis,henspa,savspa,0.5505008046942041,TRUE,5470,5420,227,8
Zonotrichia_albicollis,Zonotrichia_querula,Zonotrichia querula,whtspa,harspa,0.2797027956527708,TRUE,5580,5530,3,0
Zonotrichia_atricapilla,Zonotrichia_leucophrys,Zonotrichia leucophrys,gocspa,whcspa,0.9038093935548722,TRUE,5570,5540,123,18
Spizella_breweri,Spizella_pusilla,Spizella pusilla,brespa,fiespa,0.08888471045099833,TRUE,5620,5630,55,7
Calamospiza_melanocorys,Chondestes_grammacus,Chondestes grammacus,larbun,larspa,0.9254202601411663,TRUE,6050,5520,319,94
Passerella_iliaca,Spizelloides_arborea,Spizelloides arborea,foxspa,amtspa,0.6973723213516111,TRUE,5850,5590,120,27
Spinus_psaltria,Spinus_tristis,Spinus tristis,lesgol,amegfi,0.13292323619374216,TRUE,5300,5290,227,38
Haemorhous_cassinii,Haemorhous_purpureus,Haemorhous purpureus,casfin,purfin,0.1149201938193827,TRUE,5180,5170,113,15
Sialia_currucoides,Sialia_mexicana,Sialia mexicana,moublu,wesblu,0.5167396627052282,TRUE,7680,7670,413,53
Toxostoma_crissale,Toxostoma_lecontei,Toxostoma lecontei,crithr,lecthr,0.27518093232342833,TRUE,7120,7110,20,1
Thryomanes_bewickii,Thryothorus_ludovicianus,Thryothorus ludovicianus,bewwre,carwre,0.1754290262851609,TRUE,7190,7180,189,54
Poecile_atricapillus,Poecile_carolinensis,Poecile carolinensis,bkcchi,carchi,0.07403145230641309,TRUE,7350,7360,157,12
Poecile_hudsonicus,Poecile_rufescens,Poecile rufescens,borchi2,chbchi,0.18487812438296813,TRUE,7400,7410,55,0
Vireo_huttoni,Vireo_vicinior,Vireo vicinior,hutvir,gryvir,0.13041959607131237,TRUE,6320,6340,15,2
Empidonax_alnorum,Empidonax_traillii,Empidonax traillii,aldfly,wilfly,0.16471249926065604,TRUE,4661,4660,396,76
Tyrannus_forficatus,Tyrannus_verticalis,Tyrannus verticalis,sctfly,weskin,0.5087709044684573,TRUE,4430,4470,197,135
